japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
悪代カン三郎,N/A,Chapter 926; Episode 918,N/A,N/A,N/A,N/A,N/A,N/A,Akudai Kanzaburo is an arms dealer who lives in the Flower Capital of Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Akudai_Kanzaburo_Anime.jpg
アゴトギ,Agotogi,Chapter 163; Episode 100,His own bandit gang,N/A,N/A,N/A,N/A,N/A,Agotogi was the leader of a gang of bandits who tried to kidnap Vivi about 11 years before the princess's return to Arabasta.,N/A,https://onepieceql.s3.amazonaws.com/Agotogi_Anime.jpg
アキリア,Agilia; Acilia,Chapter 706; Episode 654,Corrida Colosseum,N/A,N/A,N/A,N/A,N/A,Acilia is a gladiator at the Corrida Colosseum who participated in a tournament for the Mera Mera no Mi.,N/A,https://onepieceql.s3.amazonaws.com/Acilia_Anime.jpg
アギー68,Aggie 68,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,Aggie 68 is a member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Aggie_68_Anime.jpg
アリー,Ally,Chapter 658; Episode 583,N/A,N/A,N/A,N/A,N/A,N/A,"Ally is a little girl who was being held captive in the Biscuit Room, on Punk Hazard. She was freed with the rest of the children by the Straw Hat Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Ally_Anime.jpg
アケヘンデ,Uweshall Notpass,Chapter 548; Episode 451,N/A,N/A,N/A,N/A,N/A,N/A,Akehende is a Marine Rear Admiral.,N/A,https://onepieceql.s3.amazonaws.com/Akehende_Anime.jpg
アッホ・ヅラコ,Dumas Fayes,Chapter 587; Episode 501,Goa Kingdom (High Town),N/A,N/A,N/A,N/A,N/A,Ahho Zurako is a noble from the Goa Kingdom and the daughter of Ahho Desunen IX.,N/A,https://onepieceql.s3.amazonaws.com/Ahho_Zurako_Anime.jpg
アタゴ山,N/A,Chapter 915; Episode 902,N/A,N/A,N/A,N/A,N/A,N/A,Atagoyama is a sumo wrestler in Wano Country's Bakura Town.,N/A,https://onepieceql.s3.amazonaws.com/Atagoyama_Anime.jpg
あずき,N/A,Chapter 940; Episode 936,N/A,N/A,N/A,N/A,N/A,N/A,Azuki is an old woman who lives in Ebisu Town.,N/A,https://onepieceql.s3.amazonaws.com/Azuki_Anime.jpg
アッホ・デスネン9世,Dumas Regal IX,Chapter 587; Episode 501,Goa Kingdom (High Town),N/A,N/A,N/A,N/A,N/A,Ahho Desunen IX is a noble from the Goa Kingdom and the father of Ahho Zurako.,N/A,https://onepieceql.s3.amazonaws.com/Ahho_Desunen_IX_Anime.jpg
